,name,conditional_probability,percentile,adjusted_p_value,should accept
180655,hydroxyl|bufotenin,0.006396588486140726,0.3983722871452421,0.0160460039021167,True
180656,hydroxyl|vardenafil,0.023255813953488375,0.6890352969234438,0.033633397570743045,True
180664,hydroxyl|epinephrine,0.00202020202020202,0.24436560934891485,0.00819415436102256,True
180671,hydroxyl|phenylpropanolamine,0.007299270072992701,0.4225196756498927,0.01721121294309484,True
180689,hydroxyl|entactogen,0.018518518518518517,0.655974242785595,0.028166554148235476,True
180701,hydroxyl|levophacetoperane,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180716,hydroxyl|venlafaxine,0.007575757575757576,0.42949558788456954,0.01757408105955824,True
180718,hydroxyl|phentolamine,0.018181818181818184,0.6527247793942285,0.02780066136798747,True
180732,hydroxyl|dimethyltryptamine,0.003952569169960474,0.31823873121869783,0.012307737466243984,True
180734,hydroxyl|desmethylprodine,0.028985507246376812,0.7417421893632244,0.039063473486237996,True
180735,hydroxyl|thymiquinone,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180740,hydroxyl|chlorphentermine,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180749,hydroxyl|buprenorphine,0.0076045627376425855,0.43140352969234436,0.017616536772892464,True
180756,hydroxyl|imipramine,0.01666666666666667,0.5911340329119962,0.02640943761061668,True
180765,hydroxyl|hydrocodone,0.0008389261744966444,0.1441092296684951,0.005731352260145711,True
180767,hydroxyl|hydromorphone,0.0024449877750611247,0.26031481039828286,0.009341078579345144,True
180778,hydroxyl|tryptamine,0.0011862396204033216,0.17576913904125924,0.006684893483922796,True
180789,hydroxyl|cipramil,0.015384615384615384,0.5640949201049368,0.02640943761061668,True
180802,hydroxyl|loperamide,0.017094017094017096,0.6427080849034105,0.02657836791516221,True
180809,hydroxyl|fentanyl,0.005145797598627788,0.3677557834486048,0.013780772978773403,True
180813,hydroxyl|phenethylamine,0.0022238695329873984,0.2561709992845218,0.008674125536573174,True
180820,hydroxyl|adrafinil,0.010416666666666666,0.4811888862389697,0.021598261012898173,True
180824,hydroxyl|psychotogen,0.021505376344086023,0.6760076317672311,0.03175910645795639,True
180827,hydroxyl|antiseptic,0.011904761904761904,0.5048891008824231,0.023542821208190855,True
180836,hydroxyl|phenylethylhydrazine,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180838,hydroxyl|morphinans,0.012987012987012986,0.5220605771523968,0.024774588468855985,True
180843,hydroxyl|mephentermine,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180844,hydroxyl|phenylalanine,0.013157894736842106,0.5256081564512283,0.02500670940808111,True
180853,hydroxyl|benzodiazepine,0.002103049421661409,0.2489864059146196,0.00837694870692217,True
180859,hydroxyl|isocarboxazid,0.011764705882352941,0.5019079418077749,0.023356729055258468,True
180860,hydroxyl|piperidyl,0.012820512820512822,0.5166646792272835,0.02466173196761567,True
180862,hydroxyl|methamphetamine,0.0006798096532970769,0.122466014786549,0.005396009230997905,True
180864,hydroxyl|benzine,0.047619047619047616,0.8492427855950394,0.055913376271819276,False
180905,hydroxyl|rolipram,0.024390243902439025,0.7040901502504173,0.03426647434509192,True
180909,hydroxyl|thymoanaesthetiser,0.024390243902439025,0.7040901502504173,0.03426647434509192,True
180927,hydroxyl|benzomorphans,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180932,hydroxyl|paroxetine,0.0055248618784530384,0.3860004769854519,0.014269015002373632,True
