,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,esp,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,chemical process,infectious,cognitive ability,behavior,integumentary
gravol,8,7,0,0,2,2,0,1,0,0,0,3,1,0,0,0,5,0,2,2,0,0,5,0,10,0,0,0,0,0,2,5,0
man,81,31,6,7,31,15,2,18,8,4,8,24,1,5,2,6,44,1,30,11,3,10,10,15,46,12,3,0,14,16,15,52,5
innoxia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ghv,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
morphine,52,24,4,2,17,13,1,16,5,3,2,7,2,2,2,1,27,2,16,6,0,7,9,8,29,5,0,0,6,11,9,25,3
selegeline,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0
liquid,75,27,4,6,24,14,0,15,5,5,5,21,5,4,2,3,32,1,22,8,1,9,10,9,39,11,0,0,13,13,14,35,7
sr,12,7,0,1,4,3,0,3,1,1,0,1,0,1,0,1,8,1,4,3,0,0,3,2,10,0,0,0,1,0,2,3,0
h3,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,0,3,0,0,0,1,0,0,1,0
hypnotic,35,18,4,5,11,8,0,7,2,1,1,6,1,0,0,0,17,1,16,5,0,2,8,4,18,2,0,0,6,6,7,15,4
green,65,26,3,5,27,12,1,11,6,1,3,22,3,2,2,3,33,1,20,10,1,9,10,12,38,11,1,0,13,11,12,39,7
mdai,6,4,0,1,3,0,0,1,0,0,0,0,2,0,0,0,5,0,1,1,0,1,3,2,6,0,0,0,0,0,2,3,1
methadone,39,18,2,0,14,12,0,13,1,3,2,8,2,3,2,2,23,2,11,4,0,5,7,6,22,2,0,0,4,5,8,20,3
dream,78,31,4,5,28,15,2,16,7,2,7,25,1,2,0,5,43,1,24,7,2,10,11,15,39,9,3,0,11,13,14,45,6
wine,56,20,4,6,16,12,0,11,5,2,1,15,2,2,1,4,21,1,16,5,1,7,8,7,24,3,0,0,5,5,10,32,5
lsd,85,32,3,8,25,14,3,20,9,3,4,25,2,3,1,4,45,1,27,11,1,10,10,13,42,11,2,0,14,15,16,50,7
mexican,43,25,3,1,13,9,0,6,3,2,1,12,1,1,0,2,18,0,10,5,0,6,9,5,26,6,1,0,7,7,9,24,4
